Respondent.Serial,sample_group,idfx,respID,sernofx,S1,S2,respondent_age,hAgeRecode,S3,S4,S5,S6,S7 (1/9),S7 (2/9),S7 (3/9),S7 (4/9),S7 (5/9),S7 (6/9),S7 (7/9),S7 (8/9),S7 (9/9),Q1,Q3,Q4,Q5 (1/24),Q5 (2/24),Q5 (3/24),Q5 (4/24),Q5 (5/24),Q5 (6/24),Q5 (7/24),Q5 (8/24),Q5 (9/24),Q5 (10/24),Q5 (11/24),Q5 (12/24),Q5 (13/24),Q5 (14/24),Q5 (15/24),Q5 (16/24),Q5 (17/24),Q5 (18/24),Q5 (19/24),Q5 (20/24),Q5 (21/24),Q5 (22/24),Q5 (23/24),Q5 (24/24),OB1_loop[{_01}].OB1,OB1_loop[{_02}].OB1,OB1_loop[{_03}].OB1,OB1_loop[{_04}].OB1,OB1_loop[{_05}].OB1,OB1_loop[{_06}].OB1,OB1_loop[{_07}].OB1,OB1_loop[{_08}].OB1,OB1_loop[{_09}].OB1,OB1_loop[{_10}].OB1,OB1_loop[{_11}].OB1,OB1_loop[{_12}].OB1,OB1_loop[{_13}].OB1,OB1_loop[{_14}].OB1,OB2,OB3,OB4 (1/8),OB4 (2/8),OB4 (3/8),OB4 (4/8),OB4 (5/8),OB4 (6/8),OB4 (7/8),OB4 (8/8),OB5_loop[{_01}].OB5,OB5_loop[{_02}].OB5,OB5_loop[{_03}].OB5,OB5_loop[{_04}].OB5,OB5_loop[{_05}].OB5,OB5_loop[{_06}].OB5,OB5_loop[{_07}].OB5,OB5_loop[{_Other}].OB5,C0,C1,hCompanySize,C2,C3,C4,C5,C6 (1/6),C6 (2/6),C6 (3/6),C6 (4/6),C6 (5/6),C6 (6/6),C7,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128
29,gen_pop,AH8LFN,AH8LFN,29,_02,1991,34,age_03,_06,_01,_02,_Other,_02,_Other,,,,,,,,_03,_05,_03,_11,_13,_08,_Other,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_02,_02,_02,_04,_04,_04,_04,_04,_03,_03,_04,_02,_02,_06,_05,_07,,,,,,,,,,_03,_03,_05,,Yes,_08,company_05,_09,_01,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,gen_pop,4JDENE,4JDENE,30,_02,1978,47,age_05,_03,_01,_02,_02,_01,_02,,,,,,,,_04,_03,_03,_02,_09,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_03,_02,_03,_03,_03,_04,_04,_04,_04,_04,_04,_04,_01,_05,_01,_07,_02,_06,_04,,,_04,_03,,_04,_04,_04,_03,,Yes,_08,company_05,_10,_01,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,gen_pop,6GJ2E2,6GJ2E2,31,_02,1991,34,age_03,_05,_01,_Other,_Other,_06,_08,,,,,,,,_04,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_02,_02,_04,_03,_03,_03,_03,_03,_03,_03,_04,_01,_04,_05,,,,,,,,,,_03,_04,,,,Yes,_08,company_05,_10,_04,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,gen_pop,NG8NFN,NG8NFN,38,_02,1980,45,age_05,_06,_01,_05,_04,_04,_06,_07,,,,,,,_04,_03,_01,_19,_02,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_03,_01,_01,_03,_03,_04,_04,_04,_04,_04,_04,_02,_01,_02,_04,_05,,,,,,,_02,,_02,_03,,,,Yes,_08,company_05,_06,_01,_02,_07,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,gen_pop,8M4CMF,8M4CMF,40,_02,1969,56,age_06,_06,_01,_04,_04,_06,,,,,,,,,_05,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_02,_02,_02,_03,_03,_04,_03,_04,_04,_03,_04,_05,_01,_06,_07,_04,_05,_03,_Other,,,,,_04,_04,_04,_04,_03,_05,No,_08,company_05,_10,_01,_01,_10,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,gen_pop,7JNL38,7JNL38,42,_02,1964,61,age_06,_07,_01,_04,_02,_01,_06,,,,,,,,_02,_05,_01,_15,_04,_10,_13,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_02,_01,_01,_04,_04,_04,_02,_04,_03,_04,_04,_03,_01,_05,,,,,,,,,,,,_03,,,,Yes,_08,company_05,_09,_01,_01,_09,_01,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,gen_pop,DBA836,DBA836,43,_02,1982,43,age_04,_05,_01,_03,_07,_04,_08,,,,,,,,_02,_05,_03,_02,_09,_10,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_02,_03,_03,_03,_03,_03,_03,_03,_03,_03,_03,_02,_03,_05,,,,,,,,,_03,,_03,,,,Yes,_05,company_03,_06,_04,_02,_04,_01,_02,_Other,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,gen_pop,K7MD8G,K7MD8G,45,_02,1986,39,age_04,_05,_01,_03,_03,_Other,,,,,,,,,_04,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_04,_01,_03,_03,_01,_04,_02,_03,_03,_04,_04,_06,_01,_06,_05,,,,,,,,,,,_03,_03,,,Yes,_04,company_03,_08,_01,_03,_05,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,gen_pop,5EN91L,5EN91L,46,_02,1968,57,age_06,_07,_01,_02,_03,_Other,,,,,,,,,_03,_05,_03,_11,_10,_16,_19,_03,_13,,,,,,,,,,,,,,,,,,,_03,_03,_04,_01,_01,_03,_03,_02,_04,_04,_04,_04,_02,_04,_02,_01,_05,_06,,,,,,,,,,,_01,_04,,,Yes,_05,company_03,_07,_04,_01,_09,none,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,gen_pop,8IBCNG,8IBCNG,50,_02,1977,48,age_05,_05,_01,_03,_04,_08,,,,,,,,,_04,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_02,_02,_04,_03,_03,_03,_04,_03,_04,_03,_03,_01,_05,_03,_04,,,,,,,,_04,_04,_03,,,,Yes,_08,company_05,_09,_01,_02,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,gen_pop,1FJ515,1FJ515,56,_02,1984,41,age_04,_04,_01,_02,_04,_03,,,,,,,,,_03,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_02,_04,_04,_03,_03,_03,_03,_03,_02,_03,_03,_02,_06,_05,,,,,,,,,,,_04,_04,,,Yes,_01,company_01,_10,_03,_01,_07,_01,_04,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,gen_pop,5DBGEC,5DBGEC,57,_02,1989,36,age_04,_06,_01,_Other,_Other,_06,,,,,,,,,_04,_03,_03,_09,_02,_19,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_02,_04,_03,_04,_03,_03,_04,_03,_03,_04,_04,_01,_04,_02,,,,,,,,_04,,_04,,,,,Yes,_08,company_05,_10,_04,_02,_04,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,gen_pop,9KL9JJ,9KL9JJ,59,_02,1983,42,age_04,_05,_01,_03,_04,_04,,,,,,,,,_04,_03,_03,_15,_02,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_02,_02,_01,_04,_01,_03,_04,_03,_03,_03,_04,_03,_01,_02,,,,,,,,,_02,,,,,,,No,_07,company_05,_10,_01,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,gen_pop,16IBM2,16IBM2,61,_02,1973,52,age_05,_07,_01,_04,_07,_06,,,,,,,,,_04,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_02,_01,_03,_04,_02,_03,_04,_04,_04,_04,_03,_01,_06,_05,_03,,,,,,,,_04,,_04,_04,,,Yes,_08,company_05,_10,_01,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,gen_pop,D35E8M,D35E8M,65,_02,1985,40,age_04,_06,_01,_Other,_04,_06,_08,,,,,,,,_04,_03,_03,_18,_04,_16,_09,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_03,_03,_04,_02,_03,_03,_03,_03,_03,_03,_02,_01,_04,_07,_05,,,,,,,,,_04,_03,,_05,,Yes,_08,company_05,_10,_04,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,gen_pop,DCMJ6K,DCMJ6K,68,_02,1990,35,age_04,_06,_01,_Other,_04,_06,_08,,,,,,,,_04,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_01,_02,_04,_03,_04,_03,_04,_04,_04,_04,_03,_01,_07,_05,_04,_02,_03,,,,,_01,_04,_03,_03,,_05,,Yes,_08,company_05,_10,_02,_01,_04,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,gen_pop,7BBGDI,7BBGDI,70,_02,1961,64,age_06,_05,_01,_02,_03,_01,,,,,,,,,_04,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_01,_03,_04,_04,_04,_04,_04,_04,_04,_04,_04,_01,_01,_07,_05,_04,,,,,_04,,,_05,_04,,_05,,Yes,_07,company_05,_10,_04,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,gen_pop,A95E1L,A95E1L,71,_02,1972,53,age_05,_03,_01,_02,_02,_03,,,,,,,,,_05,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_02,_03,_01,_02,_02,_03,_03,_04,_04,_04,_04,_04,_03,_01,_06,_05,_04,,,,,,,,,_04,_04,_04,,,Yes,_08,company_05,_07,_05,_06,_10,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,gen_pop,FH5B75,FH5B75,72,_02,1985,40,age_04,_02,_01,_06,_07,_08,,,,,,,,,_04,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_01,_02,_03,_04,_04,_02,_04,_04,_04,_03,_03,_04,_01,_03,_04,,,,,,,,,_04,_04,,,,,Yes,_08,company_05,_09,_03,_02,_05,_03,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,gen_pop,3G69HJ,3G69HJ,73,_02,1975,50,age_05,_07,_01,_04,_04,_01,_04,_06,_07,,,,,,_03,_04,_01,_09,_02,,,,,,,,,,,,,,,,,,,,,,,_04,_03,_04,_02,_02,_02,_04,_03,_03,_03,_04,_03,_03,_04,_02,_01,_02,_04,_05,_01,_06,_03,,,_04,_03,_04,_04,_04,_04,,,Yes,_08,company_05,_01,_01,_04,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,gen_pop,7N6DKG,7N6DKG,74,_02,1986,39,age_04,_06,_01,_03,_02,_03,,,,,,,,,_04,_03,_03,_18,_24,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_01,_02,_03,_03,_03,_04,_01,_02,_02,_02,_04,_02,_01,_06,_05,_03,,,,,,,,_04,,_04,_04,,,Yes,_08,company_05,_09,_02,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,gen_pop,FLFB2B,FLFB2B,75,_02,1994,31,age_03,_05,_01,_02,_Other,_05,,,,,,,,,_04,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_02,_02,_03,_03,_02,_03,_04,_04,_04,_04,_03,_04,_01,_02,_05,_04,_07,,,,,,_02,,_02,_02,,_02,,Yes,_05,company_03,_03,_01,_01,_08,_04,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,gen_pop,9G86CJ,9G86CJ,76,_02,1971,54,age_05,_07,_01,_02,_04,_02,,,,,,,,,_04,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_04,_02,_03,_01,_01,_04,_02,_04,_04,_04,_04,_04,_04,_04,_01,_01,_04,_06,,,,,,_05,,,_05,,_05,,,Yes,_08,company_05,_10,_01,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,gen_pop,B413LE,B413LE,77,_02,1973,52,age_05,_06,_01,_02,_Other,_02,,,,,,,,,_04,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_03,_01,_02,_04,_02,_03,_04,_03,_04,_03,_03,_02,_01,_05,_06,,,,,,,,,,,_04,_04,,,Yes,_08,company_05,_10,_01,_01,_10,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,gen_pop,H1M7B1,H1M7B1,79,_02,1982,43,age_04,_05,_01,_02,_04,_04,,,,,,,,,_04,_05,_01,_18,_09,_02,,,,,,,,,,,,,,,,,,,,,,_03,_01,_03,_01,_02,_01,_01,_03,_04,_02,_03,_03,_03,_03,_02,_02,_05,,,,,,,,,,,,_02,,,,Yes,_04,company_03,_06,_01,_03,_06,_04,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,gen_pop,6G348A,6G348A,80,_02,1973,52,age_05,_06,_01,_04,_04,_01,,,,,,,,,_03,_03,_01,_16,_09,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_03,_03,_03,_03,_03,_03,_03,_03,_03,_04,_03,_04,_01,_01,,,,,,,,_04,,,,,,,,Yes,_08,company_05,_10,_01,_03,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,gen_pop,LGKMCB,LGKMCB,82,_02,1975,50,age_05,_07,_01,_02,_Other,_02,,,,,,,,,_01,_05,_03,_09,_16,_02,_19,_10,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_01,_02,_04,_01,_03,_04,_03,_03,_04,_04,_03,_01,_05,_07,_04,_02,_03,_06,,,,_03,_04,_03,_03,_04,_04,,Yes,_08,company_05,_10,_01,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,gen_pop,IJIG45,IJIG45,83,_02,1973,52,age_05,_07,_01,_04,_04,_04,_06,,,,,,,,_04,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_03,_02,_03,_03,_03,_04,_04,_04,_04,_04,_04,_02,_01,_05,_04,_07,_06,_03,,,,,,_04,_04,_04,_04,_04,,Yes,_08,company_05,_10,_01,_02,_08,_03,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,gen_pop,H4F95A,H4F95A,84,_02,1963,62,age_06,_05,_01,_01,_02,_01,_08,,,,,,,,_05,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_03,_01,_03,_02,_02,_04,_04,_04,_04,_04,_04,_02,_01,_06,_01,_07,_03,,,,,_04,,_04,,,_03,_04,,Yes,_05,company_03,_07,_01,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,gen_pop,61ALGC,61ALGC,85,_02,1981,44,age_04,_07,_01,_Other,_06,_06,,,,,,,,,_02,_05,_01,_09,_13,_15,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_02,_03,_04,_04,_04,_03,_03,_04,_04,_04,_02,_01,_04,_02,_07,_01,_03,,,,_05,_02,_05,_05,,,_05,,Yes,_08,company_05,_10,_01,_01,_06,_03,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,gen_pop,5JMMKA,5JMMKA,86,_02,1975,50,age_05,_06,_01,_01,_04,_08,,,,,,,,,_03,_03,_02,_04,_02,_10,,,,,,,,,,,,,,,,,,,,,,_04,_03,_03,_03,_02,_03,_03,_01,_02,_02,_02,_02,_02,_04,_03,_02,_07,_02,_05,_06,,,,,,_04,,,_04,_04,_03,,Yes,_05,company_03,_04,_01,_02,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,gen_pop,5FBE4C,5FBE4C,87,_02,1990,35,age_04,_05,_01,_03,_04,_06,_08,,,,,,,,_03,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_03,_01,_02,_04,_03,_03,_02,_03,_03,_03,_03,_05,_01,_07,_04,_05,_01,,,,,_03,,,_03,_03,,_02,,Yes,_08,company_05,_10,_04,_03,_05,_02,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,gen_pop,2IDJDK,2IDJDK,89,_02,1997,28,age_03,_02,_01,_01,_04,_04,_08,,,,,,,,_04,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_02,_02,_04,_04,_04,_04,_04,_03,_04,_04,_02,_02,_05,_07,_04,,,,,,,,,_04,_04,,_04,,Yes,_05,company_03,_07,_03,_02,_06,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,gen_pop,F8A6A8,F8A6A8,90,_02,1972,53,age_05,_07,_01,_02,_04,_02,,,,,,,,,_05,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_03,_02,_01,_04,_03,_03,_04,_04,_04,_04,_04,_04,_02,_03,_07,_05,,,,,,,,_04,,_04,,_04,,Yes,_08,company_05,_09,_01,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,gen_pop,I2DKMI,I2DKMI,91,_02,1974,51,age_05,_05,_01,_03,_03,_01,,,,,,,,,_05,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_01,_04,_04,_04,_04,_04,_04,_04,_04,_04,_03,_01,_05,_06,_04,_03,_01,,,,_04,,_04,_04,_04,_03,,,Yes,_08,company_05,_08,_01,_01,_09,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,gen_pop,4138FK,4138FK,94,_02,1977,48,age_05,_07,_01,_01,_04,_02,_03,_04,_08,,,,,,_04,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_02,_02,_02,_03,_03,_03,_03,_03,_03,_03,_03,_02,_01,_07,_05,_02,,,,,,,_03,,,_04,,_03,,Yes,_05,company_03,_08,_01,_03,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,gen_pop,1E2I7N,1E2I7N,98,_02,1971,54,age_05,_07,_01,_02,_03,_03,,,,,,,,,_04,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_04,_04,_02,_02,_03,_03,_02,_04,_04,_03,_04,_04,_04,_03,_01,_06,,,,,,,,,,,,,_02,,,Yes,_05,company_03,_07,_01,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,gen_pop,J3KNFJ,J3KNFJ,99,_02,1967,58,age_06,_07,_01,_02,_04,_04,,,,,,,,,_05,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_03,_02,_02,_03,_02,_03,_03,_04,_04,_04,_04,_04,_02,_05,_04,,,,,,,,,,_03,_03,,,,Yes,_08,company_05,_07,_03,_02,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,gen_pop,LCF8GC,LCF8GC,100,_02,1961,64,age_06,_05,_01,_02,_04,_04,,,,,,,,,_05,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_04,_04,_02,_02,_01,_03,_02,_03,_04,_04,_04,_04,_04,_04,_02,_07,_05,,,,,,,,,,,_05,,_01,,Yes,_07,company_05,_07,_04,_01,_10,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
